nt n4 type kernel bw
7 4 array-external Set 0.2779
7 4 array-external Copy 0.4862
7 4 array-external Scale 0.5171
7 4 array-external Add 0.7172
7 4 array-external Triad 0.6840
7 4 array-internal Set 1.4484
7 4 array-internal Copy 3.1118
7 4 array-internal Scale 3.0893
7 4 array-internal Add 4.0221
7 4 array-internal Triad 4.1248
7 4 static Set 3.2424
7 4 static Copy 6.7295
7 4 static Scale 6.4763
7 4 static Add 9.5633
7 4 static Triad 9.6947
7 8 array-external Set 4.5006
7 8 array-external Copy 7.0611
7 8 array-external Scale 7.2365
7 8 array-external Add 10.6462
7 8 array-external Triad 10.4025
7 8 array-internal Set 33.2881
7 8 array-internal Copy 56.1456
7 8 array-internal Scale 55.0241
7 8 array-internal Add 73.5396
7 8 array-internal Triad 74.0962
7 8 static Set 41.1594
7 8 static Copy 102.4667
7 8 static Scale 100.2463
7 8 static Add 142.3664
7 8 static Triad 144.4673
7 12 array-external Set 21.7577
7 12 array-external Copy 35.2191
7 12 array-external Scale 35.8207
7 12 array-external Add 52.1289
7 12 array-external Triad 50.8894
7 12 array-internal Set 163.7928
7 12 array-internal Copy 261.5928
7 12 array-internal Scale 258.3590
7 12 array-internal Add 336.2689
7 12 array-internal Triad 334.4797
7 12 static Set 145.8196
7 12 static Copy 320.8407
7 12 static Scale 315.8643
7 12 static Add 433.9462
7 12 static Triad 442.1715
7 16 array-external Set 65.1850
7 16 array-external Copy 108.2257
7 16 array-external Scale 110.4438
7 16 array-external Add 158.9487
7 16 array-external Triad 154.4585
7 16 array-internal Set 388.0860
7 16 array-internal Copy 607.1369
7 16 array-internal Scale 615.7530
7 16 array-internal Add 763.1249
7 16 array-internal Triad 740.1858
7 16 static Set 279.7570
7 16 static Copy 635.2279
7 16 static Scale 621.8697
7 16 static Add 813.7257
7 16 static Triad 809.1731
7 24 array-external Set 243.0714
7 24 array-external Copy 377.0026
7 24 array-external Scale 355.2017
7 24 array-external Add 457.1185
7 24 array-external Triad 442.9566
7 24 array-internal Set 700.1186
7 24 array-internal Copy 856.7258
7 24 array-internal Scale 852.7062
7 24 array-internal Add 732.3749
7 24 array-internal Triad 735.6254
7 24 static Set 302.4336
7 24 static Copy 668.3243
7 24 static Scale 659.8267
7 24 static Add 670.2005
7 24 static Triad 679.0065
7 32 array-external Set 543.2186
7 32 array-external Copy 775.7727
7 32 array-external Scale 759.5553
7 32 array-external Add 873.2448
7 32 array-external Triad 853.2463
7 32 array-internal Set 1019.3648
7 32 array-internal Copy 1148.9637
7 32 array-internal Scale 1148.2756
7 32 array-internal Add 1059.6062
7 32 array-internal Triad 1063.2698
7 32 static Set 418.9408
7 32 static Copy 1002.5775
7 32 static Scale 976.4864
7 32 static Add 1144.7640
7 32 static Triad 1163.9057
7 48 array-external Set 956.2246
7 48 array-external Copy 1201.0578
7 48 array-external Scale 1094.2497
7 48 array-external Add 1118.2005
7 48 array-external Triad 1099.4991
7 48 array-internal Set 964.5025
7 48 array-internal Copy 1199.6477
7 48 array-internal Scale 1200.1082
7 48 array-internal Add 1072.7982
7 48 array-internal Triad 1072.0598
7 48 static Set 430.2889
7 48 static Copy 1007.5694
7 48 static Scale 980.8377
7 48 static Add 1108.4004
7 48 static Triad 1118.9546
7 64 array-external Set 1103.7593
7 64 array-external Copy 1317.2230
7 64 array-external Scale 1200.4953
7 64 array-external Add 1225.9490
7 64 array-external Triad 1204.5660
7 64 array-internal Set 1029.4050
7 64 array-internal Copy 1215.2752
7 64 array-internal Scale 1186.5892
7 64 array-internal Add 1071.0409
7 64 array-internal Triad 1071.8205
7 64 static Set 432.0893
7 64 static Copy 1039.5185
7 64 static Scale 1006.9298
7 64 static Add 1170.3228
7 64 static Triad 1191.1458
7 80 array-external Set 1151.9330
7 80 array-external Copy 1360.2128
7 80 array-external Scale 1197.8027
7 80 array-external Add 1197.1819
7 80 array-external Triad 1190.1820
7 80 array-internal Set 1073.9567
7 80 array-internal Copy 1217.2562
7 80 array-internal Scale 1218.8043
7 80 array-internal Add 1076.9849
7 80 array-internal Triad 1078.0307
7 80 static Set 432.6490
7 80 static Copy 1013.2156
7 80 static Scale 985.7790
7 80 static Add 1110.5853
7 80 static Triad 1127.8997
7 96 array-external Set 1172.3318
7 96 array-external Copy 1382.7936
7 96 array-external Scale 1171.1280
7 96 array-external Add 1165.2771
7 96 array-external Triad 1175.4423
7 96 array-internal Set 1012.5284
7 96 array-internal Copy 1179.1241
7 96 array-internal Scale 1147.4541
7 96 array-internal Add 1050.5953
7 96 array-internal Triad 1041.5709
7 96 static Set 432.7909
7 96 static Copy 1002.1173
7 96 static Scale 978.1659
7 96 static Add 1066.7137
7 96 static Triad 1089.6591
