nt n4 type kernel bw
64 4 array-external Set 1.1018
64 4 array-external Copy 2.1464
64 4 array-external Scale 2.2296
64 4 array-external Add 2.8811
64 4 array-external Triad 2.9118
64 4 array-internal Set 11.2993
64 4 array-internal Copy 20.8271
64 4 array-internal Scale 21.0953
64 4 array-internal Add 27.3067
64 4 array-internal Triad 28.7439
64 4 static Set 12.7668
64 4 static Copy 22.1905
64 4 static Scale 21.2320
64 4 static Add 32.5510
64 4 static Triad 31.5752
64 8 array-external Set 12.9454
64 8 array-external Copy 22.8548
64 8 array-external Scale 22.7027
64 8 array-external Add 32.3990
64 8 array-external Triad 31.4196
64 8 array-internal Set 88.9629
64 8 array-internal Copy 131.8411
64 8 array-internal Scale 134.4328
64 8 array-internal Add 169.6115
64 8 array-internal Triad 187.6926
64 8 static Set 92.0881
64 8 static Copy 154.3537
64 8 static Scale 142.0835
64 8 static Add 208.0508
64 8 static Triad 203.9150
64 12 array-external Set 55.4647
64 12 array-external Copy 91.0534
64 12 array-external Scale 87.6748
64 12 array-external Add 119.8589
64 12 array-external Triad 120.1724
64 12 array-internal Set 197.8783
64 12 array-internal Copy 276.9608
64 12 array-internal Scale 284.8882
64 12 array-internal Add 328.0400
64 12 array-internal Triad 327.2222
64 12 static Set 151.7268
64 12 static Copy 195.5938
64 12 static Scale 188.6878
64 12 static Add 252.8888
64 12 static Triad 242.7629
64 16 array-external Set 119.8943
64 16 array-external Copy 173.2229
64 16 array-external Scale 158.6648
64 16 array-external Add 195.1949
64 16 array-external Triad 183.4770
64 16 array-internal Set 294.1307
64 16 array-internal Copy 379.9188
64 16 array-internal Scale 341.2315
64 16 array-internal Add 368.7480
64 16 array-internal Triad 373.3063
64 16 static Set 204.3975
64 16 static Copy 270.0775
64 16 static Scale 261.7623
64 16 static Add 342.3301
64 16 static Triad 348.5571
64 24 array-external Set 229.2301
64 24 array-external Copy 277.7209
64 24 array-external Scale 258.3270
64 24 array-external Add 309.2376
64 24 array-external Triad 309.9850
64 24 array-internal Set 257.5432
64 24 array-internal Copy 301.7503
64 24 array-internal Scale 283.6134
