nt n4 type kernel bw
64 4 array-external Set 0.2990
64 4 array-external Copy 0.5743
64 4 array-external Scale 0.5655
64 4 array-external Add 0.8410
64 4 array-external Triad 0.8618
64 4 array-internal Set 3.5617
64 4 array-internal Copy 7.0824
64 4 array-internal Scale 7.1338
64 4 array-internal Add 10.5476
64 4 array-internal Triad 10.6160
64 4 static Set 4.5553
64 4 static Copy 9.1616
64 4 static Scale 9.1276
64 4 static Add 13.2604
64 4 static Triad 13.8847
64 8 array-external Set 6.2144
64 8 array-external Copy 11.6750
64 8 array-external Scale 11.4816
64 8 array-external Add 16.8113
64 8 array-external Triad 16.5668
64 8 array-internal Set 43.9102
64 8 array-internal Copy 79.8814
64 8 array-internal Scale 76.6130
64 8 array-internal Add 107.7796
64 8 array-internal Triad 111.0257
64 8 static Set 71.5589
64 8 static Copy 136.5333
64 8 static Scale 128.5020
64 8 static Add 200.7911
64 8 static Triad 174.7627
64 12 array-external Set 28.5440
64 12 array-external Copy 51.8430
64 12 array-external Scale 51.3585
64 12 array-external Add 75.7624
64 12 array-external Triad 74.0934
64 12 array-internal Set 135.4188
64 12 array-internal Copy 149.3085
64 12 array-internal Scale 120.3541
64 12 array-internal Add 148.1878
64 12 array-internal Triad 146.4597
64 12 static Set 260.8986
64 12 static Copy 458.1487
64 12 static Scale 364.0889
64 12 static Add 625.9925
64 12 static Triad 416.0056
64 16 array-external Set 79.7593
64 16 array-external Copy 137.1128
64 16 array-external Scale 125.0600
64 16 array-external Add 167.5860
64 16 array-external Triad 152.0404
64 16 array-internal Set 236.0771
64 16 array-internal Copy 204.5337
64 16 array-internal Scale 220.1330
64 16 array-internal Add 247.3364
64 16 array-internal Triad 233.1032
64 16 static Set 403.6866
64 16 static Copy 698.6625
64 16 static Scale 490.0842
64 16 static Add 648.2696
64 16 static Triad 518.9543
64 24 array-external Set 217.4682
64 24 array-external Copy 330.2948
64 24 array-external Scale 336.7830
64 24 array-external Add 457.4457
64 24 array-external Triad 412.9269
64 24 array-internal Set 289.9190
64 24 array-internal Copy 292.3197
64 24 array-internal Scale 267.6788
64 24 array-internal Add 293.3358
64 24 array-internal Triad 292.0537
64 24 static Set 710.7106
64 24 static Copy 836.7342
64 24 static Scale 684.7728
64 24 static Add 897.6986
64 24 static Triad 732.4451
64 32 array-external Set 33.1976
64 32 array-external Copy 48.0225
64 32 array-external Scale 41.6530
64 32 array-external Add 55.2256
64 32 array-external Triad 59.7736
64 32 array-internal Set 27.5714
64 32 array-internal Copy 31.9600
64 32 array-internal Scale 30.9794
64 32 array-internal Add 35.8911
64 32 array-internal Triad 36.3113
64 32 static Set 165.9790
64 32 static Copy 149.1248
64 32 static Scale 105.6142
64 32 static Add 149.1687
64 32 static Triad 142.8610
64 48 array-external Set 35.1977
64 48 array-external Copy 44.6076
64 48 array-external Scale 44.1849
64 48 array-external Add 50.6508
64 48 array-external Triad 50.8205
64 48 array-internal Set 42.8999
64 48 array-internal Copy 50.0504
64 48 array-internal Scale 50.7864
64 48 array-internal Add 57.9906
64 48 array-internal Triad 61.9999
64 48 static Set 94.2563
64 48 static Copy 116.2285
64 48 static Scale 111.4213
64 48 static Add 125.9438
64 48 static Triad 123.2099
64 64 array-external Set 35.0839
64 64 array-external Copy 48.9026
64 64 array-external Scale 48.4002
64 64 array-external Add 55.1268
64 64 array-external Triad 55.6576
64 64 array-internal Set 38.4941
64 64 array-internal Copy 45.9546
64 64 array-internal Scale 46.9022
64 64 array-internal Add 50.0125
64 64 array-internal Triad 47.9155
64 64 static Set 82.1222
64 64 static Copy 105.5246
64 64 static Scale 107.1347
64 64 static Add 120.4734
64 64 static Triad 120.8250
64 80 array-external Set 59.6168
64 80 array-external Copy 84.2513
64 80 array-external Scale 85.1399
64 80 array-external Add 96.2906
64 80 array-external Triad 94.8817
64 80 array-internal Set 75.7696
64 80 array-internal Copy 99.1642
64 80 array-internal Scale 102.6486
64 80 array-internal Add 112.4586
64 80 array-internal Triad 108.5077
64 80 static Set 80.0333
64 80 static Copy 106.0982
64 80 static Scale 106.9435
64 80 static Add 120.2111
64 80 static Triad 119.9628
64 96 array-external Set 73.3373
64 96 array-external Copy 99.6661
64 96 array-external Scale 99.9441
64 96 array-external Add 113.3211
64 96 array-external Triad 112.7259
64 96 array-internal Set 75.7332
64 96 array-internal Copy 101.0033
64 96 array-internal Scale 103.6344
64 96 array-internal Add 113.3227
64 96 array-internal Triad 110.5526
64 96 static Set 79.7489
64 96 static Copy 107.1722
64 96 static Scale 107.3227
64 96 static Add 121.1847
64 96 static Triad 121.1518
128 4 array-external Set 0.1345
128 4 array-external Copy 0.2621
128 4 array-external Scale 0.2663
128 4 array-external Add 0.3990
128 4 array-external Triad 0.4054
