nt n4 type kernel bw
48 4 array-external Set 0.2928
48 4 array-external Copy 0.6156
48 4 array-external Scale 0.6191
48 4 array-external Add 0.8709
48 4 array-external Triad 0.8849
48 4 array-internal Set 4.0242
48 4 array-internal Copy 7.8763
48 4 array-internal Scale 7.4727
48 4 array-internal Add 11.2023
48 4 array-internal Triad 10.7829
48 4 static Set 4.3765
48 4 static Copy 9.0603
48 4 static Scale 8.6081
48 4 static Add 12.6713
48 4 static Triad 13.5107
48 8 array-external Set 6.4969
48 8 array-external Copy 12.2898
48 8 array-external Scale 12.1641
48 8 array-external Add 18.4175
48 8 array-external Triad 17.9992
48 8 array-internal Set 71.9517
48 8 array-internal Copy 106.5554
48 8 array-internal Scale 112.6129
48 8 array-internal Add 134.2798
48 8 array-internal Triad 133.7924
48 8 static Set 81.1759
48 8 static Copy 160.3981
48 8 static Scale 144.8710
48 8 static Add 208.6765
48 8 static Triad 194.2927
48 12 array-external Set 32.9713
48 12 array-external Copy 67.3617
48 12 array-external Scale 65.8052
48 12 array-external Add 93.8317
48 12 array-external Triad 92.0676
48 12 array-internal Set 222.5191
48 12 array-internal Copy 213.6814
48 12 array-internal Scale 267.3098
48 12 array-internal Add 319.2371
48 12 array-internal Triad 284.0683
48 12 static Set 314.0331
48 12 static Copy 520.1949
48 12 static Scale 415.4124
48 12 static Add 619.3381
48 12 static Triad 473.4772
48 16 array-external Set 101.8060
48 16 array-external Copy 201.0178
48 16 array-external Scale 199.6891
48 16 array-external Add 282.1091
48 16 array-external Triad 276.3855
48 16 array-internal Set 335.8309
48 16 array-internal Copy 239.4419
48 16 array-internal Scale 316.3205
48 16 array-internal Add 313.1895
48 16 array-internal Triad 333.8410
48 16 static Set 597.6495
48 16 static Copy 800.2106
48 16 static Scale 619.2683
48 16 static Add 959.1609
48 16 static Triad 556.2737
48 24 array-external Set 265.0740
48 24 array-external Copy 295.1463
48 24 array-external Scale 278.6692
48 24 array-external Add 244.0554
48 24 array-external Triad 252.0406
48 24 array-internal Set 346.2933
48 24 array-internal Copy 293.9458
48 24 array-internal Scale 414.8767
48 24 array-internal Add 306.0473
48 24 array-internal Triad 289.6601
48 24 static Set 569.3842
48 24 static Copy 710.5085
48 24 static Scale 493.7774
48 24 static Add 523.8683
48 24 static Triad 497.1746
48 32 array-external Set 120.0312
48 32 array-external Copy 130.1584
48 32 array-external Scale 123.8514
48 32 array-external Add 139.6254
48 32 array-external Triad 133.5251
48 32 array-internal Set 124.8196
48 32 array-internal Copy 115.7267
48 32 array-internal Scale 135.8170
48 32 array-internal Add 130.4511
48 32 array-internal Triad 134.9875
48 32 static Set 217.7109
48 32 static Copy 182.1319
48 32 static Scale 164.7268
48 32 static Add 181.2780
48 32 static Triad 168.2002
48 48 array-external Set 97.3802
48 48 array-external Copy 122.9246
48 48 array-external Scale 123.9769
48 48 array-external Add 143.5818
48 48 array-external Triad 139.7320
48 48 array-internal Set 110.2462
48 48 array-internal Copy 130.4392
48 48 array-internal Scale 133.1935
48 48 array-internal Add 149.5636
48 48 array-internal Triad 146.8665
48 48 static Set 123.4871
48 48 static Copy 154.9269
48 48 static Scale 156.6581
48 48 static Add 176.4311
48 48 static Triad 174.1698
48 64 array-external Set 107.5371
48 64 array-external Copy 144.2483
48 64 array-external Scale 138.1643
48 64 array-external Add 162.7323
48 64 array-external Triad 156.7030
48 64 array-internal Set 104.4630
48 64 array-internal Copy 137.0004
48 64 array-internal Scale 137.4412
48 64 array-internal Add 154.0513
48 64 array-internal Triad 150.7859
48 64 static Set 113.2891
48 64 static Copy 150.7492
48 64 static Scale 150.9972
48 64 static Add 172.0441
48 64 static Triad 171.0299
48 80 array-external Set 117.4174
48 80 array-external Copy 154.2236
48 80 array-external Scale 149.3640
48 80 array-external Add 173.7795
48 80 array-external Triad 165.9136
48 80 array-internal Set 108.1084
48 80 array-internal Copy 137.6161
48 80 array-internal Scale 144.3660
48 80 array-internal Add 162.0539
48 80 array-internal Triad 161.6219
48 80 static Set 110.8128
48 80 static Copy 149.6332
48 80 static Scale 151.8424
