nt n4 type kernel bw
48 4 array-external Set 0.3446
48 4 array-external Copy 0.6980
48 4 array-external Scale 0.7006
48 4 array-external Add 1.0156
48 4 array-external Triad 1.0198
48 4 array-internal Set 4.5110
48 4 array-internal Copy 8.5773
48 4 array-internal Scale 8.4950
48 4 array-internal Add 12.6866
48 4 array-internal Triad 12.1343
48 4 static Set 5.0704
48 4 static Copy 10.0970
48 4 static Scale 9.7340
48 4 static Add 14.7589
48 4 static Triad 14.1066
48 8 array-external Set 6.7836
48 8 array-external Copy 13.1421
48 8 array-external Scale 13.1795
48 8 array-external Add 19.2847
48 8 array-external Triad 19.0942
48 8 array-internal Set 77.8723
48 8 array-internal Copy 113.9261
48 8 array-internal Scale 119.8555
48 8 array-internal Add 134.7784
48 8 array-internal Triad 141.7931
48 8 static Set 84.0924
48 8 static Copy 166.7229
48 8 static Scale 155.3446
48 8 static Add 209.3802
48 8 static Triad 201.9945
48 12 array-external Set 34.1685
48 12 array-external Copy 63.3185
48 12 array-external Scale 63.5125
48 12 array-external Add 94.2568
48 12 array-external Triad 92.9880
48 12 array-internal Set 229.0216
48 12 array-internal Copy 274.1195
48 12 array-internal Scale 287.3245
48 12 array-internal Add 304.2731
48 12 array-internal Triad 316.6221
48 12 static Set 323.1847
48 12 static Copy 602.9094
48 12 static Scale 419.9032
48 12 static Add 648.5278
48 12 static Triad 479.3104
48 16 array-external Set 105.4349
48 16 array-external Copy 206.3957
48 16 array-external Scale 203.4227
48 16 array-external Add 296.8368
48 16 array-external Triad 288.2177
48 16 array-internal Set 324.0763
48 16 array-internal Copy 339.7940
48 16 array-internal Scale 317.1896
48 16 array-internal Add 355.9925
48 16 array-internal Triad 344.0492
48 16 static Set 619.8479
48 16 static Copy 1054.1984
48 16 static Scale 589.9853
48 16 static Add 953.2509
48 16 static Triad 573.7762
48 24 array-external Set 253.3689
48 24 array-external Copy 243.6520
48 24 array-external Scale 230.8262
48 24 array-external Add 188.4741
48 24 array-external Triad 201.6250
48 24 array-internal Set 446.5983
48 24 array-internal Copy 387.6242
48 24 array-internal Scale 296.8235
48 24 array-internal Add 313.9986
48 24 array-internal Triad 301.9085
48 24 static Set 559.4186
48 24 static Copy 729.0695
48 24 static Scale 466.7218
48 24 static Add 462.9926
48 24 static Triad 480.7187
48 32 array-external Set 122.8089
48 32 array-external Copy 128.3189
48 32 array-external Scale 129.6822
48 32 array-external Add 138.4487
48 32 array-external Triad 132.6528
48 32 array-internal Set 142.6734
48 32 array-internal Copy 148.1433
48 32 array-internal Scale 140.4420
48 32 array-internal Add 144.7761
48 32 array-internal Triad 144.6360
48 32 static Set 220.7611
48 32 static Copy 185.1667
48 32 static Scale 180.2570
48 32 static Add 189.1581
48 32 static Triad 185.5719
48 48 array-external Set 100.4727
48 48 array-external Copy 126.2456
48 48 array-external Scale 127.7852
48 48 array-external Add 146.2926
48 48 array-external Triad 141.1071
48 48 array-internal Set 108.3017
48 48 array-internal Copy 127.4010
48 48 array-internal Scale 135.8931
48 48 array-internal Add 145.9584
48 48 array-internal Triad 147.0603
48 48 static Set 122.2869
48 48 static Copy 154.3732
48 48 static Scale 154.3565
48 48 static Add 174.8565
48 48 static Triad 173.8636
48 64 array-external Set 110.2119
48 64 array-external Copy 145.4158
48 64 array-external Scale 145.9670
48 64 array-external Add 165.8347
48 64 array-external Triad 158.8665
48 64 array-internal Set 103.2536
48 64 array-internal Copy 135.7497
48 64 array-internal Scale 136.6997
48 64 array-internal Add 150.5050
48 64 array-internal Triad 148.6000
48 64 static Set 114.7025
48 64 static Copy 150.9592
48 64 static Scale 150.8430
48 64 static Add 172.4561
48 64 static Triad 172.3331
48 80 array-external Set 117.8431
48 80 array-external Copy 155.7726
48 80 array-external Scale 159.2439
48 80 array-external Add 174.3099
48 80 array-external Triad 167.7711
48 80 array-internal Set 107.5327
48 80 array-internal Copy 143.2438
48 80 array-internal Scale 143.8523
48 80 array-internal Add 159.7171
48 80 array-internal Triad 160.2331
48 80 static Set 112.8460
48 80 static Copy 150.0796
48 80 static Scale 151.6257
48 80 static Add 169.9914
48 80 static Triad 169.6744
48 96 array-external Set 116.3092
48 96 array-external Copy 158.1343
48 96 array-external Scale 162.8216
48 96 array-external Add 178.3579
48 96 array-external Triad 174.1935
48 96 array-internal Set 108.7255
48 96 array-internal Copy 145.8751
48 96 array-internal Scale 145.8446
48 96 array-internal Add 163.3557
48 96 array-internal Triad 163.4264
48 96 static Set 110.9735
48 96 static Copy 149.9491
48 96 static Scale 149.8094
48 96 static Add 170.3779
48 96 static Triad 170.3133
96 4 array-external Set 0.1650
96 4 array-external Copy 0.3081
96 4 array-external Scale 0.3248
96 4 array-external Add 0.4865
96 4 array-external Triad 0.4832
96 4 array-internal Set 2.0382
96 4 array-internal Copy 4.0195
96 4 array-internal Scale 3.9690
96 4 array-internal Add 5.9532
96 4 array-internal Triad 5.9165
96 4 static Set 2.0873
96 4 static Copy 4.1830
96 4 static Scale 4.1672
96 4 static Add 6.1645
96 4 static Triad 6.0589
96 8 array-external Set 2.6202
96 8 array-external Copy 5.1590
96 8 array-external Scale 5.2554
96 8 array-external Add 7.7861
96 8 array-external Triad 7.8086
96 8 array-internal Set 32.1124
96 8 array-internal Copy 64.0626
96 8 array-internal Scale 63.4040
96 8 array-internal Add 89.7139
96 8 array-internal Triad 89.9465
96 8 static Set 33.5423
96 8 static Copy 67.8427
96 8 static Scale 69.4605
96 8 static Add 100.7729
96 8 static Triad 102.7523
96 12 array-external Set 14.0588
96 12 array-external Copy 26.7661
96 12 array-external Scale 26.8550
96 12 array-external Add 40.0455
96 12 array-external Triad 39.2554
96 12 array-internal Set 146.8902
96 12 array-internal Copy 225.8196
96 12 array-internal Scale 240.7882
96 12 array-internal Add 277.4111
96 12 array-internal Triad 277.3789
96 12 static Set 162.0132
96 12 static Copy 327.5722
96 12 static Scale 305.1048
96 12 static Add 442.8108
96 12 static Triad 396.5714
96 16 array-external Set 43.0367
96 16 array-external Copy 85.0792
96 16 array-external Scale 82.9039
96 16 array-external Add 119.9340
96 16 array-external Triad 121.0765
96 16 array-internal Set 322.5643
96 16 array-internal Copy 421.1360
96 16 array-internal Scale 404.4977
96 16 array-internal Add 477.7656
