nt n4 type kernel bw
32 4 array-external Set 0.2877
32 4 array-external Copy 0.5471
32 4 array-external Scale 0.5528
32 4 array-external Add 0.7719
32 4 array-external Triad 0.7741
32 4 array-internal Set 2.5802
32 4 array-internal Copy 4.0523
32 4 array-internal Scale 4.0638
32 4 array-internal Add 5.4796
32 4 array-internal Triad 5.3447
32 4 static Set 4.8047
32 4 static Copy 9.2652
32 4 static Scale 9.2218
32 4 static Add 13.7437
32 4 static Triad 13.7809
32 8 array-external Set 4.5341
32 8 array-external Copy 8.6512
32 8 array-external Scale 8.7601
32 8 array-external Add 12.3687
32 8 array-external Triad 12.3409
32 8 array-internal Set 41.5223
32 8 array-internal Copy 63.5244
32 8 array-internal Scale 65.1020
32 8 array-internal Add 86.8058
32 8 array-internal Triad 84.3509
32 8 static Set 74.7559
32 8 static Copy 141.5719
32 8 static Scale 140.5598
32 8 static Add 205.5136
32 8 static Triad 204.6401
32 12 array-external Set 23.7721
32 12 array-external Copy 45.1939
32 12 array-external Scale 45.4597
32 12 array-external Add 63.2697
32 12 array-external Triad 63.6067
32 12 array-internal Set 200.2672
32 12 array-internal Copy 319.1432
32 12 array-internal Scale 331.2377
32 12 array-internal Add 437.2025
32 12 array-internal Triad 433.0651
32 12 static Set 259.5549
32 12 static Copy 484.6688
32 12 static Scale 483.1689
32 12 static Add 674.0370
32 12 static Triad 672.5189
32 16 array-external Set 74.0354
32 16 array-external Copy 135.8494
32 16 array-external Scale 138.1462
32 16 array-external Add 187.0991
32 16 array-external Triad 188.4168
32 16 array-internal Set 496.7593
32 16 array-internal Copy 548.9927
32 16 array-internal Scale 776.2677
32 16 array-internal Add 891.1411
32 16 array-internal Triad 868.3859
32 16 static Set 512.7511
32 16 static Copy 910.8152
32 16 static Scale 931.4121
32 16 static Add 1151.2622
32 16 static Triad 1131.8961
32 24 array-external Set 300.0829
32 24 array-external Copy 511.1065
32 24 array-external Scale 516.9969
32 24 array-external Add 653.0845
32 24 array-external Triad 654.6708
32 24 array-internal Set 1315.3209
32 24 array-internal Copy 721.7916
32 24 array-internal Scale 1371.9939
32 24 array-internal Add 1393.3054
32 24 array-internal Triad 1413.2954
32 24 static Set 568.0589
32 24 static Copy 976.2679
32 24 static Scale 971.2146
32 24 static Add 1210.2172
32 24 static Triad 1216.9219
32 32 array-external Set 696.6897
32 32 array-external Copy 1015.5546
32 32 array-external Scale 969.1370
32 32 array-external Add 1111.2702
32 32 array-external Triad 1115.5002
32 32 array-internal Set 1636.1498
32 32 array-internal Copy 973.7565
32 32 array-internal Scale 1586.8919
32 32 array-internal Add 1638.5511
32 32 array-internal Triad 1655.4376
32 32 static Set 723.8657
32 32 static Copy 1240.3985
32 32 static Scale 1233.5961
32 32 static Add 1527.3420
32 32 static Triad 1521.2217
32 48 array-external Set 1247.5408
32 48 array-external Copy 1503.1530
32 48 array-external Scale 1493.6367
32 48 array-external Add 1607.0071
32 48 array-external Triad 1556.8978
32 48 array-internal Set 1764.1337
32 48 array-internal Copy 1045.4204
32 48 array-internal Scale 1626.4957
32 48 array-internal Add 1710.5348
32 48 array-internal Triad 1704.3953
32 48 static Set 822.5878
32 48 static Copy 1380.6650
32 48 static Scale 1367.4482
32 48 static Add 1529.0478
32 48 static Triad 1526.6361
32 64 array-external Set 1439.8508
32 64 array-external Copy 1658.3338
32 64 array-external Scale 1651.4345
32 64 array-external Add 1732.0139
32 64 array-external Triad 1672.3205
32 64 array-internal Set 1719.5295
32 64 array-internal Copy 1059.9433
32 64 array-internal Scale 1606.4909
32 64 array-internal Add 1719.4377
32 64 array-internal Triad 1714.2616
32 64 static Set 827.1718
32 64 static Copy 1382.3563
32 64 static Scale 1378.8826
32 64 static Add 1530.7664
32 64 static Triad 1538.2249
32 80 array-external Set 1504.5977
32 80 array-external Copy 1673.9274
32 80 array-external Scale 1672.0198
32 80 array-external Add 1764.6374
32 80 array-external Triad 1704.6287
32 80 array-internal Set 1719.6815
32 80 array-internal Copy 1031.1887
32 80 array-internal Scale 1589.7288
32 80 array-internal Add 1700.9025
32 80 array-internal Triad 1698.6664
32 80 static Set 828.5096
32 80 static Copy 1369.3433
32 80 static Scale 1367.8393
32 80 static Add 1525.3643
32 80 static Triad 1521.1187
32 96 array-external Set 1544.9093
32 96 array-external Copy 1699.4459
32 96 array-external Scale 1696.4732
32 96 array-external Add 1782.9577
32 96 array-external Triad 1715.8784
32 96 array-internal Set 1728.8858
32 96 array-internal Copy 1034.5000
32 96 array-internal Scale 1593.2032
32 96 array-internal Add 1711.5431
32 96 array-internal Triad 1707.1087
32 96 static Set 828.8591
32 96 static Copy 1367.7416
32 96 static Scale 1361.0631
32 96 static Add 1524.8647
32 96 static Triad 1522.5290
